Keyword,Cluster A-F,Cluster comportamentale,Dominio assegnato,Nel perimetro allocatore,Funnel,Volume DE,Volume IT,Volume FR,Volume EU,Volume ponderato 50/30/20,Fonte volumi
t shirt herren,B,GENERIC-BRAND,albeni1905.com,no,BOFU,14800,30,20,14850,7413.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
abbigliamento uomo,F,GENERIC-BRAND,albeni1905.com,no,BOFU,140,14800,90,15030,4528.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
capsule wardrobe,E,C5-MODERN MINIMALIST,worldofmerino.com,si,TOFU,6600,590,720,7910,3621.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino unterwäsche,B,GENERIC-FUNCTIONAL,perfectmerinoshirt.com,no,BOFU,6600,20,20,6640,3310.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino shirt,B,GENERIC-BRAND,albeni1905.com,no,BOFU,3600,50,90,3740,1833.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
Merino Unterwäsche Herren,B,GENERIC-FUNCTIONAL,perfectmerinoshirt.com,no,BOFU,3600,30,20,3650,1813.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino shirt herren,B,GENERIC-BRAND,albeni1905.com,no,BOFU,2900,30,20,2950,1463.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
nachhaltige kleidung,C,C3-CONSCIOUS PREMIUM,merinouniversity.com,si,BOFU,2400,20,20,2440,1210.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino t shirt,B,GENERIC-BRAND,albeni1905.com,no,BOFU,1900,110,720,2730,1127.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
laine merinos,A,GENERIC-BRAND,albeni1905.com,no,BOFU,30,20,5400,5450,1101.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merinowolle t shirt,B,GENERIC-BRAND,albeni1905.com,no,BOFU,1600,70,1000,2670,1021.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino wool,A,GENERIC-BRAND,albeni1905.com,no,BOFU,1300,480,720,2500,938.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino tshirt,B,GENERIC-BRAND,albeni1905.com,no,BOFU,1600,20,50,1670,816.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
Merino T Shirt Herren,B,GENERIC-BRAND,albeni1905.com,no,BOFU,1300,20,10,1330,658.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
laine mérinos,A,GENERIC-BRAND,albeni1905.com,no,BOFU,10,20,2400,2430,491.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
mérinos,A,GENERIC-BRAND,albeni1905.com,no,BOFU,20,20,1900,1940,396.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
t shirt merinos,B,GENERIC-BRAND,albeni1905.com,no,BOFU,10,40,1600,1650,337.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino base layer,B,GENERIC-FUNCTIONAL,perfectmerinoshirt.com,no,BOFU,480,90,90,660,285.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
t shirt luxe homme,F,C1-HERITAGE MATURE,worldofmerino.com,si,BOFU,20,20,1000,1040,216.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino wool socks,B,GENERIC-FUNCTIONAL,perfectmerinoshirt.com,no,BOFU,320,90,110,520,209.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino wool base layer,B,GENERIC-FUNCTIONAL,perfectmerinoshirt.com,no,BOFU,260,90,140,490,185.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
capsule wardrobe men,E,C5-MODERN MINIMALIST,worldofmerino.com,si,TOFU,260,90,50,400,167.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino wool t shirt,B,GENERIC-BRAND,albeni1905.com,no,BOFU,170,40,70,280,111.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
luxus t shirt herren,F,C1-HERITAGE MATURE,worldofmerino.com,si,BOFU,170,10,0,180,88.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
maglietta elegante uomo,F,C1-HERITAGE MATURE,worldofmerino.com,si,BOFU,10,260,10,280,85.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
maglietta lana merino,B,GENERIC-BRAND,albeni1905.com,no,MOFU,0,260,0,260,78.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino wool underwear,B,GENERIC-FUNCTIONAL,perfectmerinoshirt.com,no,BOFU,90,20,50,160,61.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
premium t shirt herren,F,C1-HERITAGE MATURE,worldofmerino.com,si,BOFU,90,10,0,100,48.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
unsichtbares Unterhemd Herren,B,C2-BUSINESS PROFESSIONAL,albeni1905.com,no,BOFU,90,0,10,100,47.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
nachhaltige Kleidung Herren,C,C3-CONSCIOUS PREMIUM,merinouniversity.com,si,BOFU,90,0,0,90,45.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino wool thermals,B,GENERIC-FUNCTIONAL,perfectmerinoshirt.com,no,BOFU,70,20,20,110,45.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
nachhaltige Herrenmode,C,C3-CONSCIOUS PREMIUM,merinouniversity.com,si,BOFU,70,0,10,80,37.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
Made in Italy abbigliamento uomo,F,C4-ITALIAN AUTHENTIC,worldofmerino.com,si,MOFU,0,110,10,120,35.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
Kapselgarderobe Herren,E,C5-MODERN MINIMALIST,worldofmerino.com,si,TOFU,50,0,0,50,25.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino base layer mens,B,GENERIC-FUNCTIONAL,perfectmerinoshirt.com,no,BOFU,30,20,20,70,25.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
sous vêtement laine mérinos,B,GENERIC-FUNCTIONAL,perfectmerinoshirt.com,no,MOFU,0,0,110,110,22.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
what to wear under a blazer,E,C2-BUSINESS PROFESSIONAL,albeni1905.com,no,BOFU,20,20,20,60,20.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
italian merino wool,F,C4-ITALIAN AUTHENTIC,worldofmerino.com,si,MOFU,20,20,20,60,20.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
merino wool jumper,B,GENERIC-FUNCTIONAL,perfectmerinoshirt.com,no,BOFU,20,20,20,60,20.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
best merino wool t shirt,B,GENERIC-BRAND,albeni1905.com,no,BOFU,20,20,20,60,20.0,SEMrush snapshot 2026-04-16 (keyword-matrix.csv)
